update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2755208333333333,0.0010416666666666667,0.17630208333333333,-0.06967651937156916,-0.015735522290924564,0.0037209446891210973,1.594327688217163
2,256,7680,0,0,0,0,0,0.03,-0.02,0.20078125,0.00026041666666666666,0.20130208333333333,-0.0688594221137464,-0.014333395811263472,0.0020929225720465183,1.587785355746746
3,384,11520,0,0,0,0,0,0.03,-0.02,0.17161458333333332,0.00026041666666666666,0.22526041666666666,-0.06772952387109399,-0.013913098839111626,0.0020921198956784792,1.5674995705485344
4,512,15360,0,0,3,0,3,0.03,-0.02,0.15442708333333333,0.0005208333333333333,0.25807291666666665,-0.06999456952326,-0.017422405944671482,0.0024379145324928686,1.5368891432881355
5,640,19200,0,0,4,0,4,0.03,-0.02,0.12630208333333334,0.0015625,0.31015625,-0.06938469840679318,-0.018619647788000293,0.002907278554630466,1.4919625371694565
6,768,23040,0,1,5,1,5,0.03,-0.02,0.08671875,0.004166666666666667,0.375,-0.06230856874026358,-0.015995228313840926,0.0049272200267296284,1.393627144396305
7,896,26880,0,5,18,5,18,0.03,-0.02,0.06588541666666667,0.00625,0.45416666666666666,-0.056064155767671764,-0.01716990309068933,0.012371669756248593,1.2880025133490562
8,1024,30720,0,23,35,23,35,0.03,-0.02,0.05078125,0.016666666666666666,0.5549479166666667,-0.04153033660259098,-0.015976637485437095,0.028532874071970582,1.1377181932330132
9,1152,34560,0,44,56,44,56,0.03,-0.02,0.04375,0.02109375,0.62421875,-0.03559483797289431,-0.01489126445085276,0.02745559928007424,0.9837534986436367
10,1280,38400,0,64,82,64,82,0.03,-0.02,0.030989583333333334,0.014583333333333334,0.7059895833333333,-0.023502385010942817,-0.007947862148284912,0.02911243657581508,0.8603068739175797
11,1408,42240,0,94,107,94,107,0.03,-0.02,0.028125,0.02109375,0.75625,-0.015408856561407447,-0.008611304370106154,0.03757526085246354,0.7310052216053009
12,1536,46080,0,127,139,127,139,0.03,-0.02,0.017708333333333333,0.025520833333333333,0.8244791666666667,-0.0057808380806818604,-0.004500248294789344,0.03836056834552437,0.5845964103937149
13,1664,49920,0,158,171,158,171,0.03,-0.02,0.0171875,0.02109375,0.8505208333333333,-0.001902697200421244,-0.0029398092883639038,0.03792664036154747,0.5121773667633533
14,1792,53760,0,195,206,195,206,0.03,-0.02,0.018489583333333334,0.023958333333333335,0.85546875,-0.003835809649899602,-0.005915919377002865,0.03634912031702697,0.45984143018722534
15,1920,57600,0,229,246,229,246,0.03,-0.02,0.01328125,0.029427083333333333,0.8606770833333334,-0.003535455616656691,-0.0034459502203390002,0.031118020182475448,0.44710043258965015
16,2048,61440,0,269,282,269,282,0.03,-0.02,0.01015625,0.028645833333333332,0.8901041666666667,-0.001774820644641295,-0.0033520050055813044,0.028252512915059924,0.3585449140518904
17,2176,65280,0,302,320,302,320,0.03,-0.02,0.010677083333333334,0.02421875,0.8885416666666667,-0.004910251300316304,-0.004603128050803207,0.024309572647325695,0.35605456680059433
18,2304,69120,0,338,355,338,355,0.03,-0.02,0.008854166666666666,0.022916666666666665,0.8958333333333334,-0.004472658503800631,-0.004033357370644808,0.023663948173634708,0.350607855245471
19,2432,72960,0,377,393,377,393,0.03,-0.02,0.008854166666666666,0.026302083333333334,0.89921875,-0.003341500705573708,-0.0043078923772554845,0.02461461047641933,0.3240261022001505
20,2560,76800,0,417,431,417,431,0.03,-0.02,0.011979166666666667,0.03046875,0.8846354166666667,-0.0023630191280972213,-0.002536398285883479,0.02345026342663914,0.33005007542669773
21,2688,80640,0,456,468,456,468,0.03,-0.02,0.009895833333333333,0.029947916666666668,0.8875,-0.003489092574454844,-0.002748860938481812,0.020168123533949256,0.3092655222862959
22,2816,84480,0,499,512,499,512,0.03,-0.02,0.006510416666666667,0.030729166666666665,0.9083333333333333,0.0015808097377885133,-0.0005046284350100905,0.02346648054663092,0.27565149776637554
23,2944,88320,0,541,552,541,552,0.03,-0.02,0.008072916666666667,0.028385416666666666,0.90625,-0.0008303303038701415,-0.002282117318827659,0.023472233209758997,0.29383798502385616
24,3072,92160,0,584,596,584,596,0.03,-0.02,0.0078125,0.02890625,0.8994791666666667,-0.0008175324182957411,-0.004375140808406286,0.026158067863434553,0.27204073406755924
25,3200,96000,0,624,636,624,636,0.03,-0.02,0.00546875,0.0375,0.9005208333333333,0.0039950760547071695,-0.0022602476383326575,0.03246112714987248,0.28500685654580593
26,3328,99840,0,656,673,656,673,0.03,-0.02,0.011458333333333333,0.02265625,0.8947916666666667,-0.0015959253069013357,-0.004470360901905224,0.027555169421248138,0.31151854805648327
27,3456,103680,0,694,707,694,707,0.03,-0.02,0.012760416666666666,0.025260416666666667,0.8981770833333333,-0.002519555651815608,-0.0036533363891066983,0.02288749592844397,0.29457048885524273
28,3584,107520,0,732,750,732,750,0.03,-0.02,0.0109375,0.026302083333333334,0.9046875,-0.0014631886151619256,-0.004058572580106556,0.025826809578575194,0.29480058513581753
29,3712,111360,0,773,790,773,790,0.03,-0.02,0.0109375,0.028645833333333332,0.90859375,-0.0013143238611519337,-0.0031439592130482197,0.022866105195134878,0.27438334561884403
30,3840,115200,0,810,824,810,824,0.03,-0.02,0.008333333333333333,0.025,0.9229166666666667,0.007156957522965968,-0.0016637554654153064,0.0354048740118742,0.2537635387852788
31,3968,119040,0,840,849,840,849,0.03,-0.02,0.014322916666666666,0.13385416666666666,0.8119791666666667,0.015151535568293184,-0.001801364473067224,0.060772764729335904,0.38381379283964634
32,4096,122880,0,867,871,867,871,0.03,-0.02,0.01796875,0.29739583333333336,0.6432291666666666,0.009804655332118273,-0.006060178624466062,0.07230593077838421,0.579660888761282
33,4224,126720,0,880,888,880,888,0.03,-0.02,0.03307291666666667,0.43723958333333335,0.53125,0.005586132756434381,-0.005076943765743636,0.07533322437666357,0.7715296112000942
34,4352,130560,0,897,898,897,898,0.03,-0.02,0.029947916666666668,0.5309895833333333,0.42890625,-0.005797082907520235,-0.0027490006177686155,0.05851403041742742,0.9230027608573437
35,4480,134400,0,903,905,903,905,0.03,-0.02,0.04583333333333333,0.6390625,0.3263020833333333,-0.021976100862957537,-0.007583832164527848,0.048992276191711426,1.111097328364849
36,4608,138240,0,903,905,903,905,0.03,-0.02,0.054427083333333334,0.7153645833333333,0.24453125,-0.030310312984511256,-0.0073229921399615705,0.04049940628465265,1.2353435531258583
37,4736,142080,0,905,906,905,906,0.03,-0.02,0.0390625,0.6841145833333333,0.24869791666666666,-0.029651979682967067,-0.00587962704594247,0.03732582356315106,1.2124361023306847
38,4864,145920,0,908,909,908,909,0.03,-0.02,0.0578125,0.6776041666666667,0.24869791666666666,-0.036435638554394245,-0.006191562788444571,0.02700207754969597,1.249860405921936
39,4992,149760,0,910,911,910,911,0.03,-0.02,0.04869791666666667,0.6807291666666667,0.22708333333333333,-0.0398419457487762,-0.005050223597208969,0.018756294390186667,1.2619962394237518
40,5000,150000,1,0,0,911,911,0.03,-0.02,0.04583333333333333,0.5375,0.32916666666666666,-0.038633960764855146,-0.00990187386826924,0.02330868085846305,1.153897911310196
41,5128,153840,1,21,34,932,945,0.03,-0.02,0.016927083333333332,0.025260416666666667,0.8078125,0.021895135287195444,9.920104639604688e-05,0.08438181527890265,0.5827135108411312
42,5256,157680,1,55,66,966,977,0.03,-0.02,0.019010416666666665,0.025260416666666667,0.8333333333333334,0.0023495213827118278,-0.007418083725497127,0.054623328149318695,0.5012588296085596
43,5384,161520,1,91,103,1002,1014,0.03,-0.02,0.01875,0.025260416666666667,0.8497395833333333,-0.004039384250063449,-0.006517896137665957,0.03693943715188652,0.4568916205316782
44,5512,165360,1,123,139,1034,1050,0.03,-0.02,0.016666666666666666,0.030208333333333334,0.86171875,-0.004949859343469143,-0.0055055509037629236,0.029405138571746647,0.40419651195406914
45,5640,169200,1,162,177,1073,1088,0.03,-0.02,0.012760416666666666,0.0296875,0.8716145833333333,-0.003366339486092329,-0.004999674099963158,0.029310121200978756,0.37204932421445847
46,5768,173040,1,205,217,1116,1128,0.03,-0.02,0.012760416666666666,0.025260416666666667,0.8854166666666666,-0.002152906672563404,-0.0020055787654200685,0.02237668290035799,0.3238762617111206
47,5896,176880,1,246,261,1157,1172,0.03,-0.02,0.012239583333333333,0.02734375,0.8911458333333333,-0.0020226145279593766,-0.00433206204615999,0.02600618323776871,0.3055326882749796
48,6024,180720,1,287,302,1198,1213,0.03,-0.02,0.00703125,0.027604166666666666,0.8973958333333333,-0.0028112706495448947,-0.0039004114805720747,0.022335441084578633,0.28795941546559334
49,6152,184560,1,327,345,1238,1256,0.03,-0.02,0.008854166666666666,0.028645833333333332,0.9036458333333334,-0.0034470094251446426,-0.004164211102761328,0.020136903156526387,0.26717856526374817
50,6280,188400,1,367,379,1278,1290,0.03,-0.02,0.010677083333333334,0.03125,0.8916666666666667,-0.004798697249498218,-0.004493028944125399,0.017816397012211382,0.26325332652777433
51,6408,192240,1,405,418,1316,1329,0.03,-0.02,0.00703125,0.025520833333333333,0.9098958333333333,-0.0024636087473481894,-0.0031756156604387797,0.019043415901251137,0.25170575082302094
52,6536,196080,1,447,459,1358,1370,0.03,-0.02,0.006510416666666667,0.027864583333333335,0.9044270833333333,-0.0037761213607154787,-0.004863417911110446,0.01957691099960357,0.2486045267432928
53,6664,199920,1,487,498,1398,1409,0.03,-0.02,0.0109375,0.027083333333333334,0.8880208333333334,-0.0007974109321366996,-0.0028804665780626237,0.022867076797410846,0.26715664099901915
54,6792,203760,1,526,536,1437,1447,0.03,-0.02,0.009375,0.025260416666666667,0.8908854166666667,-0.0027299869689159095,-0.003945064177969471,0.02059953403659165,0.25956255849450827
55,6920,207600,1,557,564,1468,1475,0.03,-0.02,0.0078125,0.06666666666666667,0.85625,0.007074406603351235,-0.0029927793511888012,0.04412802797742188,0.3427665140479803
56,7048,211440,1,577,585,1488,1496,0.03,-0.02,0.0203125,0.29713541666666665,0.6307291666666667,0.00349297933280468,-0.005152812955202535,0.06071605975739658,0.6203496381640434
57,7176,215280,1,595,598,1506,1509,0.03,-0.02,0.021875,0.44375,0.4822916666666667,0.002967670909129083,-0.002463501659804024,0.06737907067872584,0.8073818124830723
58,7304,219120,1,605,608,1516,1519,0.03,-0.02,0.02578125,0.52421875,0.38984375,-0.006386122317053378,-0.0014282976044341922,0.05443012109026313,0.9192252829670906
59,7432,222960,1,613,616,1524,1527,0.03,-0.02,0.04479166666666667,0.5421875,0.38671875,-0.004023135523311794,3.0281589715741575e-05,0.05983973294496536,0.9706652238965034
60,7560,226800,1,618,622,1529,1533,0.03,-0.02,0.03333333333333333,0.57109375,0.3458333333333333,-0.010730907670222223,-0.0045774262107443064,0.05923841893672943,1.0220768749713898
61,7688,230640,1,627,639,1538,1550,0.03,-0.02,0.022916666666666665,0.31875,0.571875,0.014781680540181696,-0.004297618317650631,0.08956766966730356,0.7344153076410294
