update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.07248786161653697,-0.01848136103944853,0.003652080617030151,1.5952154323458672
2,256,7680,0,0,0,0,0,0.03,-0.02,0.20416666666666666,0.00078125,0.21328125,-0.06927744601853192,-0.0152009655139409,0.002410724846413359,1.579481229186058
3,384,11520,0,0,0,0,0,0.03,-0.02,0.17578125,0.00026041666666666666,0.24921875,-0.06878554867580533,-0.015616701464750804,0.0025351666408823803,1.5553266033530235
4,512,15360,0,0,0,0,0,0.03,-0.02,0.16067708333333333,0.0005208333333333333,0.2755208333333333,-0.06828610855154693,-0.016207599022891372,0.002370299531321507,1.5218188092112541
5,640,19200,0,0,4,0,4,0.03,-0.02,0.13333333333333333,0.0013020833333333333,0.3299479166666667,-0.06795950513333082,-0.018437235557939857,0.0035598843678599223,1.4657774940133095
6,768,23040,0,1,7,1,7,0.03,-0.02,0.11145833333333334,0.004166666666666667,0.37265625,-0.06506533233914524,-0.017690821361611597,0.0052576910820789635,1.428667351603508
7,896,26880,0,5,21,5,21,0.03,-0.02,0.084375,0.00703125,0.45364583333333336,-0.057521277107298374,-0.018239814729895443,0.013434878666885197,1.314254343509674
8,1024,30720,0,24,35,24,35,0.03,-0.02,0.05963541666666667,0.011197916666666667,0.5450520833333333,-0.041806755936704576,-0.014169173897244036,0.027615206548944116,1.1841481178998947
9,1152,34560,0,44,58,44,58,0.03,-0.02,0.0609375,0.01484375,0.62578125,-0.036427382845431566,-0.015263350011082366,0.029413494165055454,1.0248794220387936
10,1280,38400,0,66,82,66,82,0.03,-0.02,0.0375,0.020833333333333332,0.7015625,-0.027034518716391176,-0.01342541780695683,0.03272590914275497,0.856344424188137
11,1408,42240,0,94,114,94,114,0.03,-0.02,0.03307291666666667,0.021354166666666667,0.7770833333333333,-0.011638287454843521,-0.0056893273249443155,0.037039976683445275,0.6991127990186214
12,1536,46080,0,130,144,130,144,0.03,-0.02,0.0234375,0.02734375,0.8125,-0.00948854477610439,-0.008554665313567966,0.039377811714075506,0.5892224162817001
13,1664,49920,0,161,175,161,175,0.03,-0.02,0.019270833333333334,0.023177083333333334,0.8518229166666667,-0.0004662139108404517,-0.004677544551668689,0.04308052465785295,0.4951123110949993
14,1792,53760,0,202,210,202,210,0.03,-0.02,0.016927083333333332,0.0234375,0.8559895833333333,-0.0030775359482504427,-0.005297750569297932,0.03627142356708646,0.45472847297787666
15,1920,57600,0,236,247,236,247,0.03,-0.02,0.011197916666666667,0.030729166666666665,0.87890625,-0.002459215116687119,-0.005394476873334497,0.03387565352022648,0.40007329545915127
16,2048,61440,0,272,288,272,288,0.03,-0.02,0.009635416666666667,0.02265625,0.9153645833333334,0.0011758078180719167,-0.0028433680563466623,0.02994456293527037,0.3129458725452423
