update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.11202842835336924,-0.0181893190019764,0.003731910139322281,1.5950844287872314
2,256,7680,0,0,0,0,0,0.03,-0.02,0.21666666666666667,0.0005208333333333333,0.21666666666666667,-0.11150735663250089,-0.018162686174036935,0.0026863025850616395,1.5781303718686104
3,384,11520,0,0,0,0,0,0.03,-0.02,0.19088541666666667,0.00026041666666666666,0.24427083333333333,-0.1115450207144022,-0.019754920998821035,0.0024984887859318405,1.550655759871006
4,512,15360,0,0,0,0,0,0.03,-0.02,0.165625,0.0013020833333333333,0.2565104166666667,-0.1048494994174689,-0.014286770659964532,0.0024192866912926547,1.5295395776629448
5,640,19200,0,0,2,0,2,0.03,-0.02,0.15052083333333333,0.00078125,0.29635416666666664,-0.10577635886147618,-0.01702552050119266,0.002659137942828238,1.5013401582837105
6,768,23040,0,0,8,0,8,0.03,-0.02,0.12005208333333334,0.00078125,0.3497395833333333,-0.1028000358492136,-0.016195745527511463,0.003360263741342351,1.4714070707559586
7,896,26880,0,4,13,4,13,0.03,-0.02,0.0921875,0.0078125,0.38619791666666664,-0.09527205023914576,-0.015032448936835863,0.00997103500412777,1.4204186499118805
8,1024,30720,0,12,25,12,25,0.03,-0.02,0.07291666666666667,0.005989583333333334,0.48151041666666666,-0.08691023685969412,-0.01749031781218946,0.015038848388940096,1.2823223993182182
9,1152,34560,0,23,41,23,41,0.03,-0.02,0.062239583333333334,0.011979166666666667,0.5520833333333334,-0.07153027597814798,-0.012171389331342652,0.02259161730762571,1.1775782853364944
10,1280,38400,0,52,60,52,60,0.03,-0.02,0.05234375,0.019791666666666666,0.63671875,-0.06135592539794743,-0.017073665643692948,0.03154305508360267,1.0008964762091637
11,1408,42240,0,72,86,72,86,0.03,-0.02,0.0359375,0.02109375,0.7052083333333333,-0.04953115317039192,-0.012241867210832424,0.02997248130850494,0.8712587989866734
12,1536,46080,0,105,112,105,112,0.03,-0.02,0.030989583333333334,0.028125,0.7669270833333334,-0.03337070532143116,-0.0068422497824940365,0.03721437870990485,0.7522607706487179
13,1664,49920,0,133,144,133,144,0.03,-0.02,0.0234375,0.022395833333333334,0.80078125,-0.027843784191645682,-0.005328294631908648,0.034806384705007076,0.6653113923966885
14,1792,53760,0,166,175,166,175,0.03,-0.02,0.022135416666666668,0.027604166666666666,0.81953125,-0.024826502543874085,-0.006916781407198869,0.03441049449611455,0.5852494910359383
15,1920,57600,0,199,209,199,209,0.03,-0.02,0.01953125,0.0296875,0.83984375,-0.02024471026379615,-0.004048354574479163,0.032560191582888365,0.5412742160260677
16,2048,61440,0,240,250,240,250,0.03,-0.02,0.01796875,0.026822916666666665,0.8557291666666667,-0.01436933467630297,-0.001522410340839997,0.034766601864248514,0.5038370974361897
17,2176,65280,0,273,284,273,284,0.03,-0.02,0.016666666666666666,0.019791666666666666,0.8625,-0.019151198561303318,-0.003790774382650852,0.026480598491616547,0.4766787327826023
18,2304,69120,0,308,322,308,322,0.03,-0.02,0.019270833333333334,0.024739583333333332,0.8731770833333333,-0.018223340273834765,-0.0038672693190164864,0.02485085348598659,0.44635830260813236
19,2432,72960,0,340,355,340,355,0.03,-0.02,0.01953125,0.019010416666666665,0.8708333333333333,-0.019314204691909254,-0.0037533125723712146,0.021419095224700868,0.43784067034721375
20,2560,76800,0,380,393,380,393,0.03,-0.02,0.0171875,0.026822916666666665,0.8872395833333333,-0.01608511817175895,-0.0031095006852410734,0.02171533543150872,0.39722142927348614
