update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.04113018448697403,-0.019089239474851638,0.0037502257473533973,1.5944039151072502
2,256,7680,0,0,0,0,0,0.03,-0.02,0.20416666666666666,0.0005208333333333333,0.20572916666666666,-0.03834487090352923,-0.015856151760090142,0.0023914570920169353,1.5789632201194763
3,384,11520,0,0,0,0,0,0.03,-0.02,0.1765625,0.00026041666666666666,0.2552083333333333,-0.03991669963579625,-0.01789764461136656,0.0024683189403731376,1.550214372575283
4,512,15360,0,0,2,0,2,0.03,-0.02,0.15104166666666666,0.0015625,0.28567708333333336,-0.034439433307852596,-0.013192748068831861,0.0028551347641041502,1.5116168782114983
5,640,19200,0,0,6,0,6,0.03,-0.02,0.12135416666666667,0.0013020833333333333,0.33151041666666664,-0.034590912458952516,-0.014744743704795837,0.0038268610078375787,1.4506399780511856
6,768,23040,0,1,10,1,10,0.03,-0.02,0.0859375,0.0033854166666666668,0.37213541666666666,-0.036225274845492095,-0.01819626493670512,0.006172581284772605,1.4076867327094078
7,896,26880,0,10,21,10,21,0.03,-0.02,0.07005208333333333,0.0078125,0.43697916666666664,-0.025785305362660438,-0.0148126698913984,0.01750524580711499,1.3150172680616379
8,1024,30720,0,22,37,22,37,0.03,-0.02,0.046875,0.01484375,0.5643229166666667,-0.020674954168498516,-0.015601760290337552,0.023108034511096776,1.1084807217121124
9,1152,34560,0,41,57,41,57,0.03,-0.02,0.041666666666666664,0.013020833333333334,0.63046875,-0.01904621801804751,-0.01762232868350111,0.02576248871628195,0.9536755941808224
10,1280,38400,0,69,82,69,82,0.03,-0.02,0.024739583333333332,0.019791666666666666,0.7294270833333333,-0.002824220573529601,-0.008977947698440403,0.03553979122079909,0.7744112685322762
11,1408,42240,0,98,113,98,113,0.03,-0.02,0.023177083333333334,0.0234375,0.7856770833333333,0.005638210917823017,-0.004639419814338908,0.03972036996856332,0.6388369724154472
12,1536,46080,0,136,149,136,149,0.03,-0.02,0.016927083333333332,0.023958333333333335,0.8388020833333333,0.010132063558558002,-0.004136336880037561,0.04406544426456094,0.5176214836537838
13,1664,49920,0,166,179,166,179,0.03,-0.02,0.015625,0.05234375,0.8421875,0.012394745193887502,-0.0031699700484750792,0.0460540191270411,0.49748627468943596
14,1792,53760,0,192,195,192,195,0.03,-0.02,0.022916666666666665,0.20911458333333333,0.6809895833333334,0.010097347549162805,-0.003796837932895869,0.04934994922950864,0.7187193296849728
15,1920,57600,0,207,213,207,213,0.03,-0.02,0.025520833333333333,0.3109375,0.6015625,0.0116179613978602,-0.004519162728684023,0.05626660492271185,0.7997452318668365
16,2048,61440,0,222,223,222,223,0.03,-0.02,0.027083333333333334,0.49453125,0.43463541666666666,0.005811406008433551,-0.004431518813362345,0.050362196983769536,0.9958782829344273
17,2176,65280,0,228,234,228,234,0.03,-0.02,0.024739583333333332,0.5549479166666667,0.3796875,0.009663959441240877,-0.004416758602019399,0.05932996212504804,1.0389509126543999
18,2304,69120,0,255,265,255,265,0.03,-0.02,0.015104166666666667,0.084375,0.8135416666666667,0.027833119442220777,-0.002599824743811041,0.07539145345799625,0.4841855373233557
19,2432,72960,0,287,302,287,302,0.03,-0.02,0.0109375,0.029947916666666668,0.8888020833333333,0.013248724368168041,-0.003493610071018338,0.04417666653171182,0.35639994218945503
20,2560,76800,0,328,339,328,339,0.03,-0.02,0.011197916666666667,0.02421875,0.90078125,0.007885755156166852,-0.0031414922705153003,0.03122442413587123,0.30566431768238544
21,2688,80640,0,363,381,363,381,0.03,-0.02,0.011197916666666667,0.026822916666666665,0.9140625,0.00483248961973004,-0.004188549559330568,0.026139875641092658,0.2699265666306019
22,2816,84480,0,403,420,403,420,0.03,-0.02,0.0078125,0.034375,0.9161458333333333,0.005023443110985681,-0.003196138874045573,0.024092505336739123,0.2551113599911332
