update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.07259043457452208,-0.019833679136354476,0.005834633426275104,1.590687781572342
2,256,7680,0,0,0,0,0,0.03,-0.02,0.225,0.0005208333333333333,0.209375,-0.07451372244395316,-0.02047170590958558,0.0022439405802288093,1.5761138945817947
3,384,11520,0,0,0,0,0,0.03,-0.02,0.18463541666666666,0.00026041666666666666,0.24401041666666667,-0.07238316535949707,-0.019404945880523883,0.0022795133700128645,1.5462278574705124
4,512,15360,0,0,1,0,1,0.03,-0.02,0.17578125,0.0013020833333333333,0.2833333333333333,-0.06925550929736346,-0.017408233659807593,0.0026980890397680923,1.5198948457837105
5,640,19200,0,0,4,0,4,0.03,-0.02,0.13411458333333334,0.004166666666666667,0.34140625,-0.07229467225261033,-0.02405321813421324,0.0034213527833344415,1.427203729748726
6,768,23040,0,3,15,3,15,0.03,-0.02,0.10859375,0.007552083333333333,0.42526041666666664,-0.059577808366157115,-0.018168265717804388,0.011630488093942404,1.3492796197533607
7,896,26880,0,10,30,10,30,0.03,-0.02,0.12317708333333334,0.011458333333333333,0.44765625,-0.05203547445125878,-0.01488882306148298,0.016816598654258996,1.3015700355172157
8,1024,30720,0,31,43,31,43,0.03,-0.02,0.08880208333333334,0.01796875,0.5744791666666667,-0.039362781099043787,-0.017239190259715542,0.030933052417822182,1.0740033462643623
9,1152,34560,0,53,65,53,65,0.03,-0.02,0.07604166666666666,0.021614583333333333,0.6395833333333333,-0.03222171915695071,-0.014097903680521995,0.02968597097788006,0.9419085942208767
10,1280,38400,0,77,94,77,94,0.03,-0.02,0.06015625,0.025,0.7080729166666667,-0.02572339994367212,-0.013126153702614829,0.03079794521909207,0.7998919636011124
11,1408,42240,0,107,124,107,124,0.03,-0.02,0.06302083333333333,0.0234375,0.7578125,-0.018722234992310405,-0.012129800976254046,0.03373877005651593,0.6703376770019531
12,1536,46080,0,138,155,138,155,0.03,-0.02,0.037760416666666664,0.022916666666666665,0.7989583333333333,-0.013098279538098723,-0.007218704180559143,0.030009010923095047,0.5966880097985268
13,1664,49920,0,169,189,169,189,0.03,-0.02,0.033854166666666664,0.025520833333333333,0.821875,-0.011293318471871316,-0.007604880272992887,0.02912521595135331,0.521458450704813
14,1792,53760,0,212,227,212,227,0.03,-0.02,0.03619791666666667,0.030989583333333334,0.81875,-0.011617239098995924,-0.007499710918636993,0.026342119206674397,0.49395965225994587
15,1920,57600,0,251,266,251,266,0.03,-0.02,0.013541666666666667,0.023697916666666666,0.875,-0.00792012014426291,-0.006862142065074295,0.0244971594074741,0.3801873717457056
16,2048,61440,0,288,302,288,302,0.03,-0.02,0.011458333333333333,0.02265625,0.8921875,-0.009056965063791722,-0.0068360770637809765,0.018679094791878015,0.3302981462329626
17,2176,65280,0,325,340,325,340,0.03,-0.02,0.015364583333333333,0.02421875,0.9041666666666667,-0.007050734362564981,-0.005056180089013651,0.017545139184221625,0.30763211846351624
18,2304,69120,0,366,380,366,380,0.03,-0.02,0.012239583333333333,0.02734375,0.8953125,-0.0068623756524175406,-0.005758853949373588,0.019765849108807743,0.313898466527462
19,2432,72960,0,407,420,407,420,0.03,-0.02,0.005729166666666666,0.0265625,0.89453125,-0.007872351765399799,-0.006375544027832802,0.0180755797191523,0.3009885046631098
20,2560,76800,0,445,460,445,460,0.03,-0.02,0.008854166666666666,0.026302083333333334,0.9002604166666667,-0.006260618683882058,-0.005671357808751054,0.019747642683796585,0.29894520714879036
21,2688,80640,0,486,503,486,503,0.03,-0.02,0.008072916666666667,0.029166666666666667,0.8919270833333334,-0.008201735763577744,-0.007248585898196325,0.017942654085345566,0.28355648554861546
22,2816,84480,0,528,540,528,540,0.03,-0.02,0.006510416666666667,0.0265625,0.9138020833333333,-0.0036406843864824623,-0.0035765440443356056,0.01738848286913708,0.2502394700422883
23,2944,88320,0,568,581,568,581,0.03,-0.02,0.006510416666666667,0.03125,0.90078125,-0.00429339095717296,-0.004869539348874241,0.01959293452091515,0.26343768276274204
24,3072,92160,0,604,613,604,613,0.03,-0.02,0.0049479166666666664,0.05807291666666667,0.8895833333333333,0.0071369141805917025,-0.003484782748273574,0.04325412737671286,0.31443905644118786
25,3200,96000,0,634,639,634,639,0.03,-0.02,0.013020833333333334,0.21276041666666667,0.6885416666666667,0.005913580069318414,-0.004837499145651236,0.061429454712197185,0.5703899376094341
26,3328,99840,0,647,651,647,651,0.03,-0.02,0.015885416666666666,0.42578125,0.48489583333333336,0.0010408932575955987,-0.003452276549069211,0.06450769840739667,0.7931622564792633
27,3456,103680,0,663,676,663,676,0.03,-0.02,0.01640625,0.2716145833333333,0.6268229166666667,0.01576568093150854,-0.004854125785641372,0.08700216840952635,0.653750766068697
28,3584,107520,0,694,701,694,701,0.03,-0.02,0.01484375,0.29192708333333334,0.6286458333333333,0.00885899574495852,-0.00624944461742416,0.07285564788617194,0.6091252453625202
29,3712,111360,0,720,732,720,732,0.03,-0.02,0.017447916666666667,0.20234375,0.7270833333333333,0.025475679663941264,-0.004725612699985504,0.0968954199925065,0.5213262289762497
30,3840,115200,0,759,772,759,772,0.03,-0.02,0.00625,0.031510416666666666,0.8955729166666667,0.005248764471616596,-0.003698470041854307,0.038711360655725,0.2973841689527035
31,3968,119040,0,797,812,797,812,0.03,-0.02,0.010677083333333334,0.02734375,0.8963541666666667,-0.0034528158139437437,-0.005468669347465038,0.023045185254886746,0.2716211238875985
32,4096,122880,0,831,848,831,848,0.03,-0.02,0.0046875,0.023958333333333335,0.9122395833333333,-0.005755987454904243,-0.0065142934618052095,0.017277720500715077,0.2251586839556694
33,4224,126720,0,875,884,875,884,0.03,-0.02,0.008333333333333333,0.02578125,0.9177083333333333,-0.0015129118983168155,-0.0025497918686596677,0.017757061519660056,0.22404714860022068
34,4352,130560,0,916,932,916,932,0.03,-0.02,0.00703125,0.0296875,0.8953125,-0.0009336372022517025,-0.004370978473161813,0.025070066447369754,0.25993406027555466
35,4480,134400,0,959,963,959,963,0.03,-0.02,0.005989583333333334,0.046875,0.89140625,0.0040845596813596785,-0.004673457471653819,0.03620622691232711,0.2670027567073703
36,4608,138240,0,975,986,975,986,0.03,-0.02,0.022135416666666668,0.29010416666666666,0.61796875,0.0008062883280217648,-0.00461241725133732,0.05283952783793211,0.6000302098691463
37,4736,142080,0,997,1002,997,1002,0.03,-0.02,0.021875,0.36015625,0.5627604166666667,0.00122163281776011,-0.004708386230049655,0.057942665414884686,0.6583232395350933
38,4864,145920,0,1008,1013,1008,1013,0.03,-0.02,0.02265625,0.46875,0.4359375,6.145937368273735e-05,-0.003737277518666815,0.0659903404302895,0.8341837897896767
39,4992,149760,0,1020,1022,1020,1022,0.03,-0.02,0.020572916666666666,0.53046875,0.378125,-0.012519981130026281,-0.004351156763732433,0.047126944875344634,0.9066370464861393
40,5000,150000,1,0,0,1020,1024,0.03,-0.02,0.0375,0.6041666666666666,0.30833333333333335,0.22394995391368866,-0.002731463377131149,0.5211907774209976,0.9689705818891525
41,5128,153840,1,26,41,1046,1065,0.03,-0.02,0.0049479166666666664,0.025260416666666667,0.8846354166666667,0.02561035327380523,-0.004512955551035702,0.07823348161764443,0.2569551896303892
42,5256,157680,1,67,80,1087,1104,0.03,-0.02,0.004166666666666667,0.026822916666666665,0.9065104166666667,0.0021344535634852946,-0.005900737814954482,0.03131391014903784,0.21776467096060514
43,5384,161520,1,111,122,1131,1146,0.03,-0.02,0.00390625,0.030729166666666665,0.9059895833333333,0.0008794339082669467,-0.004272269259672612,0.025430692825466394,0.2161040846258402
44,5512,165360,1,149,161,1169,1185,0.03,-0.02,0.005208333333333333,0.03125,0.89921875,-0.0010827674414031208,-0.00532082308200188,0.023560279165394604,0.21548810601234436
