update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.06802389421500266,-0.01403927903083968,0.003880569609464146,1.5978542789816856
2,256,7680,0,0,0,0,0,0.03,-0.02,0.22395833333333334,0.0005208333333333333,0.2,-0.06591527548152953,-0.011572327821340878,0.0028018489392707124,1.59268207103014
3,384,11520,0,0,0,0,0,0.03,-0.02,0.17239583333333333,0.0,0.23697916666666666,-0.06383649946656078,-0.00991253656684421,0.002443557750666514,1.5755926296114922
4,512,15360,0,0,0,0,0,0.03,-0.02,0.13046875,0.0013020833333333333,0.2630208333333333,-0.0636110685300082,-0.011605406762100756,0.003092223370913416,1.5300506725907326
5,640,19200,0,0,0,0,0,0.03,-0.02,0.09713541666666667,0.00078125,0.2903645833333333,-0.06227528303861618,-0.011357102004694752,0.0033230151748284698,1.502276822924614
6,768,23040,0,0,3,0,3,0.03,-0.02,0.07265625,0.0013020833333333333,0.31588541666666664,-0.0650766093749553,-0.016499869961990044,0.0036914789670845494,1.4406422600150108
7,896,26880,0,0,8,0,8,0.03,-0.02,0.054947916666666666,0.009895833333333333,0.34921875,-0.05537642491981387,-0.007557905308203772,0.004375797521788627,1.4287548288702965
8,1024,30720,0,2,17,2,17,0.03,-0.02,0.05677083333333333,0.01953125,0.3885416666666667,-0.05491491220891476,-0.010745637817308307,0.009347077779239044,1.3955089524388313
9,1152,34560,0,5,26,5,26,0.03,-0.02,0.05807291666666667,0.011979166666666667,0.4278645833333333,-0.053305362234823406,-0.011779795284382999,0.010464609455084428,1.3359391614794731
10,1280,38400,0,23,32,23,32,0.03,-0.02,0.040625,0.014322916666666666,0.49270833333333336,-0.04105968424119055,-0.012068636657204479,0.02963431691750884,1.2516630366444588
11,1408,42240,0,38,54,38,54,0.03,-0.02,0.040625,0.0140625,0.5703125,-0.03836247592698783,-0.012464456347515807,0.026399977505207062,1.117085948586464
12,1536,46080,0,58,70,58,70,0.03,-0.02,0.03203125,0.019270833333333334,0.62109375,-0.033063711947761476,-0.013097691102302633,0.02967665228061378,0.9944099076092243
13,1664,49920,0,81,96,81,96,0.03,-0.02,0.024479166666666666,0.029947916666666668,0.6911458333333333,-0.021880307234823704,-0.008065871894359589,0.03385232936125249,0.8783028721809387
14,1792,53760,0,112,124,112,124,0.03,-0.02,0.026822916666666665,0.022395833333333334,0.7369791666666666,-0.017028450791258365,-0.007400849979603663,0.03440411959309131,0.76656174659729
15,1920,57600,0,140,155,140,155,0.03,-0.02,0.019270833333333334,0.02265625,0.7890625,-0.01751678006257862,-0.0073279548159916885,0.026414393913000822,0.6684577874839306
