update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.07199830655008554,-0.0183648913516663,0.004368867841549218,1.5947956964373589
2,256,7680,0,0,0,0,0,0.03,-0.02,0.21458333333333332,0.0,0.21901041666666668,-0.07430916442535818,-0.02020773275580723,0.002490570885129273,1.5813347697257996
3,384,11520,0,0,0,0,0,0.03,-0.02,0.18619791666666666,0.00078125,0.24973958333333332,-0.07383792754262686,-0.021069126611109823,0.002851815035683103,1.5484202429652214
4,512,15360,0,0,1,0,1,0.03,-0.02,0.165625,0.0013020833333333333,0.284375,-0.06809635378886014,-0.016971711098449305,0.0028845838241977617,1.5019124001264572
5,640,19200,0,0,7,0,7,0.03,-0.02,0.1328125,0.0013020833333333333,0.34713541666666664,-0.06536797666922212,-0.016755732940509915,0.0036075301613891497,1.4404573887586594
6,768,23040,0,1,13,1,13,0.03,-0.02,0.1046875,0.00703125,0.41328125,-0.06507871067151427,-0.02118017667089589,0.008011681289644912,1.3686964139342308
7,896,26880,0,9,29,9,29,0.03,-0.02,0.08671875,0.008072916666666667,0.48489583333333336,-0.05029782000929117,-0.014921123220119625,0.018323115713428706,1.2725215554237366
8,1024,30720,0,33,44,33,44,0.03,-0.02,0.057291666666666664,0.020052083333333335,0.5838541666666667,-0.03495857014786452,-0.013086906561511569,0.03085253748577088,1.065655205398798
9,1152,34560,0,60,67,60,67,0.03,-0.02,0.046614583333333334,0.022135416666666668,0.6924479166666667,-0.025835589272901416,-0.011135663196910173,0.03414874256122857,0.9078370742499828
10,1280,38400,0,86,98,86,98,0.03,-0.02,0.0328125,0.017708333333333333,0.7471354166666667,-0.019622004707343876,-0.011716793815139681,0.03552128013689071,0.7333100289106369
11,1408,42240,0,118,129,118,129,0.03,-0.02,0.027604166666666666,0.022135416666666668,0.8052083333333333,-0.007593109330628067,-0.006003652721119579,0.039837475516833365,0.6145198307931423
12,1536,46080,0,149,163,149,163,0.03,-0.02,0.022395833333333334,0.023177083333333334,0.8408854166666667,-0.004001100023742765,-0.005223785974521888,0.039089449564926326,0.5234868116676807
13,1664,49920,0,181,195,181,195,0.03,-0.02,0.018489583333333334,0.040364583333333336,0.85546875,0.003394279279746115,-0.004105118219740689,0.04528828558977693,0.43270700238645077
14,1792,53760,0,212,216,212,216,0.03,-0.02,0.021354166666666667,0.19192708333333333,0.7315104166666667,-0.0006347893504425883,-0.004996784467948601,0.051252423552796245,0.6075490340590477
15,1920,57600,0,230,234,230,234,0.03,-0.02,0.03984375,0.3138020833333333,0.6171875,-0.0032058299402706325,-0.004420479541295208,0.05801971396431327,0.7941487804055214
16,2048,61440,0,241,254,241,254,0.03,-0.02,0.038802083333333334,0.36171875,0.5684895833333333,0.0021953608375042677,-0.0044992663752054796,0.07152793323621154,0.8305525593459606
17,2176,65280,0,278,291,278,291,0.03,-0.02,0.018489583333333334,0.028125,0.8916666666666667,0.008931441872846335,-0.002267323281557765,0.051556698279455304,0.4165595509111881
18,2304,69120,0,313,327,313,327,0.03,-0.02,0.019010416666666665,0.02265625,0.8932291666666666,-0.00029162020655348897,-0.0010552810708759353,0.029530470143072307,0.40004497580230236
19,2432,72960,0,350,362,350,362,0.03,-0.02,0.016927083333333332,0.02578125,0.88984375,-0.00872357253683731,-0.006911756208864972,0.021467591635882854,0.35844606161117554
20,2560,76800,0,389,400,389,400,0.03,-0.02,0.014583333333333334,0.027604166666666666,0.90546875,-0.002553030935814604,-0.0035186467866878957,0.02446020010393113,0.3218424152582884
21,2688,80640,0,426,442,426,442,0.03,-0.02,0.013541666666666667,0.026302083333333334,0.9143229166666667,-0.004568066564388573,-0.005444131325930357,0.022079011192545295,0.2903840243816376
22,2816,84480,0,467,481,467,481,0.03,-0.02,0.0109375,0.027083333333333334,0.925,-0.0021549137018155307,-0.004008720308775082,0.022736243321560323,0.2718375734984875
23,2944,88320,0,509,518,509,518,0.03,-0.02,0.0078125,0.030729166666666665,0.9205729166666666,-0.0010654029319994152,-0.002326815758351586,0.021642695763148367,0.2731409966945648
24,3072,92160,0,549,558,549,558,0.03,-0.02,0.007291666666666667,0.035416666666666666,0.8979166666666667,-0.0013158605434000492,-0.004198952461592853,0.026025471393950284,0.28941838443279266
25,3200,96000,0,587,597,587,597,0.03,-0.02,0.009635416666666667,0.0265625,0.9080729166666667,-0.0007854627328924835,-0.002907735528424382,0.02433571661822498,0.2870167326182127
26,3328,99840,0,630,644,630,644,0.03,-0.02,0.011458333333333333,0.032552083333333336,0.9013020833333333,-0.0003375294618308544,-0.002126994833815843,0.023411905975081027,0.28332820907235146
27,3456,103680,0,670,688,670,688,0.03,-0.02,0.010416666666666666,0.028645833333333332,0.9208333333333333,-0.0030031198693905026,-0.004985652180039324,0.022228647372685373,0.2609083289280534
28,3584,107520,0,708,723,708,723,0.03,-0.02,0.010677083333333334,0.02734375,0.91015625,-0.0015421133721247315,-0.0023706359788775444,0.0205057084094733,0.2692666072398424
29,3712,111360,0,750,766,750,766,0.03,-0.02,0.01171875,0.03229166666666667,0.8973958333333333,0.0006338187959045172,-0.00179064623080194,0.02361902967095375,0.2681442918255925
30,3840,115200,0,789,803,789,803,0.03,-0.02,0.007291666666666667,0.028385416666666666,0.91796875,0.000867548689711839,-0.0007413127168547362,0.019466079189442098,0.23211937583982944
31,3968,119040,0,825,845,825,845,0.03,-0.02,0.010677083333333334,0.03229166666666667,0.91328125,-0.0017121546261478215,-0.004832225986319827,0.021456105634570122,0.21737089660018682
32,4096,122880,0,867,880,867,880,0.03,-0.02,0.006510416666666667,0.025260416666666667,0.93125,0.001238533528521657,-0.0015961102253641002,0.020328032784163952,0.2094106413424015
33,4224,126720,0,913,926,913,926,0.03,-0.02,0.011197916666666667,0.03203125,0.925,-0.0005091520433779806,-0.0028667263977695256,0.01884492172393948,0.20185391325503588
34,4352,130560,0,958,968,958,968,0.03,-0.02,0.007552083333333333,0.029166666666666667,0.9309895833333334,-0.0008218128350563347,-0.005218777630943805,0.02299302350729704,0.20284420810639858
35,4480,134400,0,993,1001,993,1001,0.03,-0.02,0.00859375,0.024479166666666666,0.9361979166666666,0.012884866766398773,-0.0007381780887953937,0.04156046221032739,0.2044910416007042
36,4608,138240,0,1021,1032,1021,1032,0.03,-0.02,0.0171875,0.08984375,0.8588541666666667,0.015202166803646833,-0.005520363920368254,0.06410737056285143,0.32374725118279457
37,4736,142080,0,1045,1050,1045,1050,0.03,-0.02,0.04244791666666667,0.2981770833333333,0.6700520833333333,0.013087941450066864,-0.0046611803118139505,0.07671454129740596,0.5888042561709881
38,4864,145920,0,1059,1061,1059,1061,0.03,-0.02,0.07291666666666667,0.53359375,0.47994791666666664,0.0006774348439648747,-0.002976865682285279,0.06939615355804563,0.8869650363922119
39,4992,149760,0,1068,1079,1068,1079,0.03,-0.02,0.07526041666666666,0.5317708333333333,0.46770833333333334,0.017444595345295966,-0.004186298145214096,0.10725337592884898,0.9141655527055264
40,5000,150000,1,0,0,1070,1084,0.03,-0.02,0.04583333333333333,0.23333333333333334,0.7166666666666667,0.8129980564117432,7.997950160643086e-05,1.6648645997047424,0.557549387216568
41,5128,153840,1,26,40,1096,1124,0.03,-0.02,0.01640625,0.03463541666666667,0.9,0.023243464645929635,-0.003492775547783822,0.07402017852291465,0.2935385573655367
42,5256,157680,1,64,79,1134,1163,0.03,-0.02,0.012239583333333333,0.023697916666666666,0.9174479166666667,0.006568449782207608,-0.0034225010313093662,0.03759103093761951,0.25155898835510015
43,5384,161520,1,100,118,1170,1202,0.03,-0.02,0.011197916666666667,0.026041666666666668,0.90703125,0.002301301632542163,-0.0036771904487977736,0.029194034403190017,0.24624358117580414
44,5512,165360,1,146,157,1216,1241,0.03,-0.02,0.01015625,0.03046875,0.9145833333333333,0.0026314087444916368,-0.0007180083775892854,0.022629833198152483,0.2275857152417302
