update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.06891244382131845,-0.015089736261870712,0.004069151967996731,1.5959223881363869
2,256,7680,0,0,0,0,0,0.03,-0.02,0.20494791666666667,0.00078125,0.21744791666666666,-0.07368278736248612,-0.019767044053878635,0.0025486472659395076,1.576859027147293
3,384,11520,0,0,0,0,0,0.03,-0.02,0.16536458333333334,0.0005208333333333333,0.24869791666666666,-0.07110420695971698,-0.018280330928973854,0.002436290742480196,1.5440577194094658
4,512,15360,0,0,3,0,3,0.03,-0.02,0.14088541666666668,0.0005208333333333333,0.28880208333333335,-0.06653863936662674,-0.01489480075542815,0.0026416111941216514,1.5132755488157272
5,640,19200,0,0,4,0,4,0.03,-0.02,0.10859375,0.0010416666666666667,0.33489583333333334,-0.06461141782347113,-0.015178977977484465,0.0033639838366070762,1.4604123458266258
6,768,23040,0,2,9,2,9,0.03,-0.02,0.08177083333333333,0.0067708333333333336,0.36692708333333335,-0.060807092348113656,-0.01482820486126002,0.007959187380038202,1.427385151386261
7,896,26880,0,5,19,5,19,0.03,-0.02,0.06744791666666666,0.010416666666666666,0.4317708333333333,-0.060054470668546855,-0.019100669480394572,0.010355953651014715,1.3180507943034172
8,1024,30720,0,21,32,21,32,0.03,-0.02,0.05,0.009635416666666667,0.5338541666666666,-0.04613114078529179,-0.01679373305523768,0.02362098847515881,1.1756543442606926
9,1152,34560,0,42,55,42,55,0.03,-0.02,0.05390625,0.015364583333333333,0.6278645833333333,-0.034966665087267756,-0.014317213703179732,0.0294031371595338,1.0100291520357132
10,1280,38400,0,63,78,63,78,0.03,-0.02,0.03828125,0.01796875,0.6708333333333333,-0.030432866187766194,-0.011827767069917172,0.02758483635261655,0.9256433323025703
11,1408,42240,0,92,103,92,103,0.03,-0.02,0.040364583333333336,0.022135416666666668,0.7268229166666667,-0.020184228371363133,-0.009031860157847404,0.03352539846673608,0.7975733615458012
12,1536,46080,0,121,133,121,133,0.03,-0.02,0.025520833333333333,0.025,0.803125,-0.009725812124088407,-0.005678570218151435,0.03736848593689501,0.6494709812104702
13,1664,49920,0,155,166,155,166,0.03,-0.02,0.023177083333333334,0.027864583333333335,0.83359375,-0.005035326816141605,-0.005934913730015978,0.03852001077029854,0.5245833769440651
14,1792,53760,0,185,202,185,202,0.03,-0.02,0.023697916666666666,0.025260416666666667,0.8518229166666667,-0.005265689920634031,-0.005426334391813725,0.0335808111121878,0.47513604536652565
15,1920,57600,0,225,240,225,240,0.03,-0.02,0.017708333333333333,0.025,0.8684895833333334,-0.0015961989120114595,-0.00442977313650772,0.03402005834504962,0.4050415623933077
16,2048,61440,0,263,273,263,273,0.03,-0.02,0.012239583333333333,0.025,0.88359375,-0.003973710583522916,-0.005032813118305057,0.02644298691302538,0.34749685972929
17,2176,65280,0,302,313,302,313,0.03,-0.02,0.008854166666666666,0.023958333333333335,0.9065104166666667,-0.0005032179178670049,-0.0025784836907405406,0.02548795542679727,0.30482034012675285
18,2304,69120,0,337,347,337,347,0.03,-0.02,0.008854166666666666,0.0234375,0.9059895833333333,0.0016695596277713776,-0.0024100703303702176,0.029570709564723074,0.30587784573435783
19,2432,72960,0,369,374,369,374,0.03,-0.02,0.012760416666666666,0.10364583333333334,0.8364583333333333,0.007477632840164006,-0.0028941870550625026,0.048825738253071904,0.40117283537983894
20,2560,76800,0,388,399,388,399,0.03,-0.02,0.02109375,0.22630208333333332,0.7065104166666667,0.008599126420449466,-0.004164322846918367,0.06779702729545534,0.603858970105648
21,2688,80640,0,406,412,406,412,0.03,-0.02,0.0265625,0.38828125,0.5658854166666667,-0.003508026944473386,-0.004932681622449309,0.05813074088655412,0.7897347286343575
22,2816,84480,0,419,421,419,421,0.03,-0.02,0.03411458333333333,0.5354166666666667,0.4466145833333333,-0.01588096679188311,-0.006827609337051399,0.04950945475138724,0.9659452885389328
23,2944,88320,0,428,430,428,430,0.03,-0.02,0.03515625,0.6114583333333333,0.3703125,-0.017896219389513135,-0.00478464545449242,0.04914484266191721,1.0766855776309967
24,3072,92160,0,436,436,436,436,0.03,-0.02,0.037760416666666664,0.6640625,0.3138020833333333,-0.025128492736257613,-0.004749908141093329,0.040454881731420755,1.160172164440155
25,3200,96000,0,439,440,439,440,0.03,-0.02,0.0390625,0.6869791666666667,0.2828125,-0.02763819496612996,-0.007323682424612343,0.04427151684649289,1.2128648906946182
26,3328,99840,0,442,442,442,442,0.03,-0.02,0.0375,0.7346354166666667,0.22734375,-0.04335928393993527,-0.004789299520780332,0.012595686013810337,1.2819379270076752
27,3456,103680,0,444,444,444,444,0.03,-0.02,0.03984375,0.73984375,0.21614583333333334,-0.035122106899507344,-0.005655678323819302,0.03214419272262603,1.3011007234454155
28,3584,107520,0,446,446,446,446,0.03,-0.02,0.0359375,0.7229166666666667,0.20833333333333334,-0.03316060930956155,-0.0048457552620675415,0.03425101260654628,1.298295997083187
29,3712,111360,0,447,450,447,450,0.03,-0.02,0.0421875,0.7236979166666667,0.21380208333333334,-0.036523584043607116,-0.0027476076065795496,0.022774629178456962,1.2903797402977943
