update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.02,-0.01,0.2760416666666667,0.0013020833333333333,0.16640625,-0.07065974036231637,-0.016252923727734014,0.0025837595967459492,1.5913913398981094
2,256,7680,0,0,0,0,0,0.02,-0.01,0.2453125,0.0,0.2078125,-0.06772443884983659,-0.012963518995093182,0.0014500776742352173,1.5853131264448166
3,384,11520,0,0,0,0,0,0.02,-0.01,0.21432291666666667,0.0005208333333333333,0.23203125,-0.06808714591898024,-0.013804162852466106,0.0015005952518549748,1.5723794251680374
4,512,15360,0,0,0,0,0,0.02,-0.01,0.18385416666666668,0.0013020833333333333,0.259375,-0.06969343067612499,-0.01655900210607797,0.0016934079249040224,1.5423180535435677
5,640,19200,0,0,2,0,2,0.02,-0.01,0.15416666666666667,0.002864583333333333,0.31927083333333334,-0.06665604095906019,-0.015646418585674837,0.002099770659697242,1.487414501607418
6,768,23040,0,2,9,2,9,0.02,-0.01,0.12395833333333334,0.0046875,0.3697916666666667,-0.06377741973847151,-0.017006395297357813,0.006346607784507796,1.4269808009266853
7,896,26880,0,7,23,7,23,0.02,-0.01,0.12317708333333334,0.0078125,0.43411458333333336,-0.055845801485702395,-0.014153231080854312,0.011318706383462995,1.3529120981693268
8,1024,30720,0,26,37,26,37,0.02,-0.01,0.10807291666666667,0.01796875,0.5182291666666666,-0.042581179295666516,-0.010265707089274656,0.023593910969793797,1.2603550627827644
9,1152,34560,0,43,59,43,59,0.02,-0.01,0.09895833333333333,0.0125,0.5869791666666667,-0.044560658978298306,-0.017032289557391778,0.020299371622968465,1.0765158496797085
10,1280,38400,0,66,81,66,81,0.02,-0.01,0.06666666666666667,0.024479166666666666,0.6619791666666667,-0.032447870005853474,-0.011065271450206637,0.021812031394802034,0.9225318394601345
11,1408,42240,0,93,108,93,108,0.02,-0.01,0.061197916666666664,0.020052083333333335,0.7286458333333333,-0.022475999663583934,-0.009994255065976176,0.028488546377047896,0.763600517064333
12,1536,46080,0,125,140,125,140,0.02,-0.01,0.04114583333333333,0.0203125,0.8057291666666667,-0.014467253116890788,-0.005798289304948412,0.027990156784653664,0.6475440636277199
13,1664,49920,0,157,166,157,166,0.02,-0.01,0.03671875,0.027604166666666666,0.8171875,-0.009229851013515145,-0.0035155618097633123,0.029560837778262794,0.5855630785226822
14,1792,53760,0,189,201,189,201,0.02,-0.01,0.033854166666666664,0.022916666666666665,0.8375,-0.00848764629336074,-0.0055965103092603385,0.029564726632088423,0.5049571078270674
15,1920,57600,0,226,245,226,245,0.02,-0.01,0.027083333333333334,0.026041666666666668,0.8645833333333334,-0.006732264475431293,-0.004605075086146826,0.02825083560310304,0.46436021849513054
16,2048,61440,0,265,279,265,279,0.02,-0.01,0.029947916666666668,0.02578125,0.86953125,-0.007487924885936081,-0.005783806642284617,0.02459512249333784,0.400047967210412
17,2176,65280,0,302,320,302,320,0.02,-0.01,0.023697916666666666,0.025260416666666667,0.8854166666666666,-0.005860290606506169,-0.0036105085746385157,0.021529050543904305,0.37183735705912113
18,2304,69120,0,343,357,343,357,0.02,-0.01,0.023958333333333335,0.0234375,0.89921875,-0.004222464514896274,-0.003066935751121491,0.0217201781924814,0.34330336190760136
19,2432,72960,0,376,394,376,394,0.02,-0.01,0.019791666666666666,0.027864583333333335,0.8885416666666667,-0.0055651465081609786,-0.0036979653959861025,0.02151416416745633,0.36069323495030403
20,2560,76800,0,418,430,418,430,0.02,-0.01,0.026822916666666665,0.029947916666666668,0.8833333333333333,-0.006919888925040141,-0.005758852610597387,0.02140436344780028,0.33894909359514713
21,2688,80640,0,456,472,456,472,0.02,-0.01,0.021875,0.026302083333333334,0.89921875,-0.003948159865103662,-0.002711705266847275,0.019415422109887004,0.3126904368400574
22,2816,84480,0,498,511,498,511,0.02,-0.01,0.019010416666666665,0.030989583333333334,0.9065104166666667,-0.006557385117048398,-0.004786443285411224,0.01752649713307619,0.30097687244415283
23,2944,88320,0,539,555,539,555,0.02,-0.01,0.0125,0.026822916666666665,0.9002604166666667,-0.0035857439506798983,-0.003397483262233436,0.019384521758183837,0.28230062685906887
24,3072,92160,0,583,594,583,594,0.02,-0.01,0.010416666666666666,0.029427083333333333,0.9114583333333334,-0.0021415745723061264,-0.004221566690830514,0.02199634467251599,0.25480514019727707
25,3200,96000,0,624,634,624,634,0.02,-0.01,0.0125,0.03125,0.9151041666666667,-0.002275085193105042,-0.003783648833632469,0.020513677853159606,0.2499507050961256
26,3328,99840,0,655,662,655,662,0.02,-0.01,0.021875,0.12864583333333332,0.8291666666666667,0.007498521648813039,-0.0020371865612105466,0.04673412372358143,0.39518153108656406
27,3456,103680,0,675,681,675,681,0.02,-0.01,0.03125,0.31692708333333336,0.6497395833333334,-0.0015745386481285095,-0.0059418174787424505,0.054996408289298415,0.6608835831284523
28,3584,107520,0,694,697,694,697,0.02,-0.01,0.04244791666666667,0.3502604166666667,0.6080729166666666,-0.006549091311171651,-0.006613853358430788,0.053113318514078856,0.7569113522768021
29,3712,111360,0,710,713,710,713,0.02,-0.01,0.06510416666666667,0.4125,0.5421875,-0.005800431245006621,-0.003016589966136962,0.05547148664481938,0.8719881325960159
30,3840,115200,0,717,723,717,723,0.02,-0.01,0.06848958333333334,0.51015625,0.46927083333333336,-0.016987867071293294,-0.003823055516477325,0.04491760930977762,1.0178176015615463
31,3968,119040,0,727,732,727,732,0.02,-0.01,0.09895833333333333,0.5088541666666667,0.46380208333333334,-0.013781760237179697,-0.004141413090110291,0.05520139983855188,1.0640299022197723
32,4096,122880,0,734,737,734,737,0.02,-0.01,0.1265625,0.6065104166666667,0.38229166666666664,-0.02746916387695819,-0.0036919949343428016,0.037253538612276316,1.211541086435318
33,4224,126720,0,739,741,739,741,0.02,-0.01,0.1234375,0.6432291666666666,0.34036458333333336,-0.028768562362529337,-0.004790977225638926,0.03886382794007659,1.2402714118361473
