update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.05,-0.03,0.2760416666666667,0.0013020833333333333,0.16640625,-0.07527970056980848,-0.021898428109125234,0.004963724859408103,1.5960895419120789
2,256,7680,0,0,0,0,0,0.05,-0.03,0.20885416666666667,0.00078125,0.21380208333333334,-0.07361971400678158,-0.020302288205130026,0.00353792765235994,1.57389684766531
3,384,11520,0,0,0,0,0,0.05,-0.03,0.17552083333333332,0.0005208333333333333,0.2526041666666667,-0.07370901631657034,-0.021807402867125347,0.00392315853969194,1.5389483571052551
4,512,15360,0,0,0,0,0,0.05,-0.03,0.1484375,0.0010416666666666667,0.2916666666666667,-0.06686694175004959,-0.016116600076202303,0.0031724526488687843,1.4953305274248123
5,640,19200,0,0,5,0,5,0.05,-0.03,0.11119791666666666,0.0036458333333333334,0.33567708333333335,-0.06381496402900666,-0.01645782399282325,0.005491223622811958,1.4315072000026703
6,768,23040,0,2,11,2,11,0.05,-0.03,0.07578125,0.002864583333333333,0.39348958333333334,-0.060109091573394835,-0.017853911442216486,0.010111559444339946,1.351741723716259
7,896,26880,0,10,22,10,22,0.05,-0.03,0.0609375,0.011458333333333333,0.4864583333333333,-0.0479569744784385,-0.016264318983303383,0.02367765351664275,1.243756614625454
8,1024,30720,0,27,37,27,37,0.05,-0.03,0.0421875,0.01328125,0.5794270833333334,-0.03201159613672644,-0.012975384219316766,0.040207776124589145,1.1182885766029358
9,1152,34560,0,49,62,49,62,0.05,-0.03,0.03984375,0.0234375,0.6528645833333333,-0.024474798352457583,-0.014671759854536504,0.045946122612804174,0.9364599734544754
10,1280,38400,0,74,92,74,92,0.05,-0.03,0.028125,0.019791666666666666,0.7346354166666667,-0.005821640603244305,-0.005121746071381494,0.05180282017681748,0.760037261992693
11,1408,42240,0,109,124,109,124,0.05,-0.03,0.022916666666666665,0.022135416666666668,0.7973958333333333,0.006430151988752186,-0.007217750884592533,0.07134400575887412,0.6292600035667419
12,1536,46080,0,143,157,143,157,0.05,-0.03,0.015104166666666667,0.031510416666666666,0.8364583333333333,0.006823076168075204,-0.004954529169481248,0.06052803143393248,0.5281831510365009
13,1664,49920,0,176,191,176,191,0.05,-0.03,0.011458333333333333,0.020572916666666666,0.8700520833333333,0.004090039117727429,-0.004796157794771716,0.04921270557679236,0.44914731197059155
