update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
1,128,3840,0,0,0,0,0,0.03,-0.02,0.2760416666666667,0.0013020833333333333,0.16640625,-0.07233321911189705,-0.01839764666510746,0.0038319234299706295,1.5957581028342247
2,256,7680,0,0,0,0,0,0.03,-0.02,0.21041666666666667,0.0005208333333333333,0.21510416666666668,-0.07272720197215676,-0.018682676542084664,0.002640508479089476,1.5818508490920067
3,384,11520,0,0,0,0,0,0.03,-0.02,0.17630208333333333,0.0005208333333333333,0.25026041666666665,-0.07213919586502016,-0.019230447673180606,0.0024534621043130755,1.5467279702425003
4,512,15360,0,0,1,0,1,0.03,-0.02,0.15130208333333334,0.0015625,0.2791666666666667,-0.06451227539218962,-0.01308158491156064,0.0028766452305717394,1.5105431973934174
5,640,19200,0,0,5,0,5,0.03,-0.02,0.13255208333333332,0.0026041666666666665,0.3046875,-0.06520306505262852,-0.015360605379100889,0.0035080066008958966,1.4741846397519112
6,768,23040,0,0,10,0,10,0.03,-0.02,0.10416666666666667,0.006510416666666667,0.36822916666666666,-0.06801645667292178,-0.020797342935111374,0.004463690973352641,1.4128845259547234
7,896,26880,0,6,21,6,21,0.03,-0.02,0.07760416666666667,0.0078125,0.45390625,-0.05423959530889988,-0.01532095979200676,0.015265621768776327,1.3300413116812706
8,1024,30720,0,23,35,23,35,0.03,-0.02,0.05963541666666667,0.009635416666666667,0.540625,-0.04292845947202295,-0.016733913886127993,0.028058736468665302,1.1492546647787094
9,1152,34560,0,48,57,48,57,0.03,-0.02,0.053385416666666664,0.022916666666666665,0.63203125,-0.03248735680244863,-0.013255414567538537,0.032593403360806406,1.0151040963828564
10,1280,38400,0,71,86,71,86,0.03,-0.02,0.032552083333333336,0.021614583333333333,0.7197916666666667,-0.018446154077537358,-0.007058132432575803,0.03390482999384403,0.8097267523407936
11,1408,42240,0,98,115,98,115,0.03,-0.02,0.03177083333333333,0.025,0.75859375,-0.01382644905243069,-0.00727517408085987,0.03738313133362681,0.7212240137159824
12,1536,46080,0,132,143,132,143,0.03,-0.02,0.02109375,0.025520833333333333,0.79296875,-0.008317984407767653,-0.004734025074867532,0.035900530871003866,0.615263544023037
13,1664,49920,0,167,179,167,179,0.03,-0.02,0.019270833333333334,0.02421875,0.8489583333333334,-0.0013894455041736364,-0.00553059512458276,0.04310833441559225,0.4975147917866707
14,1792,53760,0,207,218,207,218,0.03,-0.02,0.023177083333333334,0.030208333333333334,0.85625,-0.002018061524722725,-0.005049840532592498,0.03814255748875439,0.458271412178874
15,1920,57600,0,243,260,243,260,0.03,-0.02,0.0171875,0.025520833333333333,0.87265625,-0.00397305196383968,-0.003857055475236848,0.030774273327551782,0.44294665195047855
16,2048,61440,0,282,296,282,296,0.03,-0.02,0.016145833333333335,0.024479166666666666,0.8880208333333334,-0.005023300647735596,-0.00558321108110249,0.025880523375235498,0.3537243027240038
17,2176,65280,0,320,334,320,334,0.03,-0.02,0.015104166666666667,0.02578125,0.8838541666666667,-0.0027020539855584502,-0.005013709596823901,0.02914706547744572,0.35033934377133846
18,2304,69120,0,358,375,358,375,0.03,-0.02,0.01015625,0.024739583333333332,0.89453125,-0.003667589044198394,-0.004371078350231983,0.024258738267235458,0.3264537248760462
