run_name,learning_rate,entropy_coef,waypoint_reward,active_wait_penalty,total_steps,training_layout_count,seed,completed_tasks,delivered_to_goal,generated_tasks,mean_agent_reward,blocked_moves,policy_actions,policy_overrides,planner_fallbacks,forced_toggles,invalid_toggle_fallbacks,gif_path,train_dir,eval_dir
tune_base,2.5e-4,0.035,0.03,-0.02,300000,4,0,1580,1594,1620,120.61416634828396,4517,146811,,,3189,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758\gifs\ltfp_seed0.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758
tune_base,2.5e-4,0.035,0.03,-0.02,300000,4,1,1563,1576,1602,118.60183303478794,5016,146847,,,3153,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758\gifs\ltfp_seed1.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758
tune_base,2.5e-4,0.035,0.03,-0.02,300000,4,2,1539,1553,1579,117.15133301248619,5732,146892,,,3108,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758\gifs\ltfp_seed2.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758
tune_base,2.5e-4,0.035,0.03,-0.02,300000,4,3,1459,1476,1499,111.28849968367334,6128,147052,,,2948,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758\gifs\ltfp_seed3.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758
tune_base,2.5e-4,0.035,0.03,-0.02,300000,4,4,1537,1550,1575,116.48133302777617,5863,146902,,,3098,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758\gifs\ltfp_seed4.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758
tune_lr_low,1.0e-4,0.035,0.03,-0.02,300000,4,0,1420,1433,1460,106.64249972867546,6432,147132,,,2868,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528\gifs\ltfp_seed0.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528
tune_lr_low,1.0e-4,0.035,0.03,-0.02,300000,4,1,1435,1448,1475,107.47333306343062,6775,147104,,,2896,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528\gifs\ltfp_seed1.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528
tune_lr_low,1.0e-4,0.035,0.03,-0.02,300000,4,2,1477,1494,1517,112.6199996869041,4994,147017,,,2983,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528\gifs\ltfp_seed2.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528
tune_lr_low,1.0e-4,0.035,0.03,-0.02,300000,4,3,1459,1469,1499,111.36866634458225,5189,147056,,,2944,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528\gifs\ltfp_seed3.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528
tune_lr_low,1.0e-4,0.035,0.03,-0.02,300000,4,4,1469,1482,1509,111.09899970731155,5548,147037,,,2963,,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528\gifs\ltfp_seed4.gif,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528
